aah	2	verb
aardvark	1	noun
aba	3	noun
aback	2	adverb
abacus	1	noun
abalone	1	noun
abandon	5	noun
abandonment	3	noun
abate	1	verb
abatement	1	noun
abattoir	1	noun
abaya	1	noun
abbe	1	noun
abbess	1	noun
abbey	4	noun
abbot	3	noun
abbreviate	1	verb
abbreviated	2	adjective
abbreviation	2	noun
abdicate	1	verb
abdication	2	noun
abdomen	3	noun
abdominal	3	adjective
abduct	1	verb
abducting	1	adjective
abduction	3	noun
abductor	1	noun
abed	2	adverb
aberrant	1	adjective
aberration	2	noun
abet	1	verb
abeyance	1	noun
abhor	1	verb
abhorrence	1	noun
abhorrent	2	adjective
abide	3	verb
abiding	3	adjective
abject	2	adjective
ablation	1	noun
ablative	1	adjective
ablaze	2	adjective
ableism	1	noun
ablution	1	noun
ably	1	adverb
abnegation	1	noun
abnormal	4	adjective
abnormality	2	noun
abnormally	2	adverb
aboard	5	adverb
abode	2	noun
abolish	3	verb
abolishment	1	noun
abolition	3	noun
abolitionism	1	noun
abolitionist	1	noun
abominable	2	adjective
abomination	2	noun
aboriginal	4	adjective
aborigine	1	noun
abort	3	noun
abortion	5	noun
abortive	1	adjective
abound	3	verb
abounding	1	adjective
aboveground	1	adjective
abracadabra	1	noun
abrasion	2	noun
abrasive	3	adjective
abreast	2	adjective
abridged	2	adjective
abrogate	1	verb
abrogation	1	noun
abrupt	3	adjective
abruptly	3	adverb
abscess	2	noun
abscond	1	verb
absent	4	adjective
absentee	2	noun
absenteeism	1	noun
absentmindedly	1	adverb
absinthe	1	noun
absolution	2	noun
absolutism	1	noun
absolutist	1	adjective
absolve	2	verb
absolved	1	adjective
absorb	4	verb
absorbable	1	adjective
absorbance	1	noun
absorbed	4	adjective
absorbent	2	adjective
absorber	1	noun
absorbing	3	adjective
absorption	4	noun
abstain	2	verb
abstention	1	noun
abstinence	2	noun
abstinent	1	adjective
abstract	5	adjective
abstracted	2	adjective
abstraction	3	noun
abstractly	1	adverb
abstruse	1	adjective
absurd	4	adjective
absurdity	3	noun
absurdly	2	adverb
abundance	4	noun
abundant	4	adjective
abundantly	2	adverb
abused	5	adjective
abuser	2	noun
abusive	4	adjective
abut	1	verb
abutment	1	noun
abuzz	1	adjective
aby	1	verb
abysmal	2	adjective
abysmally	1	adverb
abyss	3	noun
abyssal	1	adjective
acacia	2	noun
academe	1	noun
academia	3	noun
academically	2	adverb
academician	1	noun
acanthus	1	noun
accede	1	verb
accelerate	4	verb
accelerated	4	adjective
acceleration	4	noun
accelerator	3	noun
accelerometer	1	noun
accent	5	noun
accented	2	adjective
accentuate	1	verb
acceptability	1	noun
acceptable	5	adjective
acceptably	1	adverb
acceptance	5	noun
accepting	5	adjective
acceptor	1	noun
accessibility	3	noun
accessible	5	adjective
accession	3	noun
accessory	4	adjective
accidental	4	adjective
accidentally	5	adverb
acclaim	3	noun
acclamation	1	noun
acclimate	1	verb
acclimation	1	noun
acclimatization	1	noun
accolade	2	noun
accommodate	5	verb
accommodating	3	adjective
accommodation	5	noun
accommodative	1	adjective
accompanied	5	adjective
accompaniment	3	noun
accompanist	1	noun
accompany	4	verb
accompanying	4	adjective
accomplice	3	noun
accomplish	5	verb
accomplished	5	adjective
accomplishment	4	noun
accord	4	noun
accordance	5	noun
accordingly	5	adverb
accordion	2	noun
accountability	4	noun
accountable	4	adjective
accountancy	2	noun
accountant	4	noun
accounting	5	noun
accredit	1	verb
accreditation	3	noun
accredited	4	adjective
accretion	1	noun
accrual	1	noun
accrue	2	verb
accrued	2	adjective
acculturation	1	noun
accumulate	3	verb
accumulated	4	adjective
accumulation	3	noun
accumulator	1	noun
accuracy	5	noun
accurately	4	adverb
accursed	1	adjective
accusation	4	noun
accusative	1	adjective
accusatory	1	adjective
accuse	4	verb
accuser	2	noun
accusing	4	adjective
accustom	1	verb
accustomed	4	adjective
ace	5	adjective
acerbic	1	adjective
acetaldehyde	1	noun
acetaminophen	1	noun
acetate	2	noun
acetic	1	adjective
acetone	1	noun
acetyl	1	noun
acetylation	1	noun
acetylcholine	1	noun
acetylene	1	noun
ache	3	noun
achievable	3	adjective
achiever	1	noun
aching	3	adjective
achy	1	adjective
acidic	3	adjective
acidification	1	noun
acidity	3	noun
acidosis	1	noun
acknowledge	5	verb
acknowledged	5	adjective
acknowledgement	3	noun
acknowledgment	2	noun
acme	2	noun
acne	4	noun
acolyte	1	noun
acorn	2	noun
acoustic	4	adjective
acoustical	1	adjective
acoustically	1	adverb
acoustics	2	noun
acquaint	1	verb
acquaintance	3	noun
acquainted	3	adjective
acquiesce	1	verb
acquiescence	1	noun
acquire	5	verb
acquirer	1	noun
acquiring	4	noun
acquisition	5	noun
acquisitive	1	adjective
acquit	1	verb
acquittal	2	noun
acquitted	3	adjective
acre	4	noun
acreage	2	noun
acres	5	noun
acrid	1	adjective
acrimonious	1	adjective
acrimony	1	noun
acrobat	1	noun
acrobatic	2	adjective
acrobatics	1	noun
acronym	3	noun
acropolis	1	noun
acrostic	1	noun
acrylamide	1	noun
acrylate	1	noun
acrylic	3	noun
acrylonitrile	1	noun
actin	2	noun
actionable	2	adjective
activate	4	verb
activated	5	adjective
activating	3	adjective
activation	4	noun
activator	1	noun
actively	5	adverb
activewear	1	noun
activism	4	noun
activist	5	adjective
actuality	2	noun
actualization	1	noun
actualize	1	verb
actuarial	1	adjective
actuary	1	noun
actuate	1	verb
actuated	1	adjective
actuation	1	noun
actuator	1	noun
acuity	2	noun
acumen	2	noun
acupressure	1	noun
acupuncture	2	noun
acute	5	adjective
acutely	2	adverb
acyclic	1	adjective
acyclovir	1	noun
acyl	1	noun
adage	2	noun
adagio	1	adjective
adamant	3	adjective
adamantine	1	adjective
adamantly	1	adverb
adapt	4	verb
adaptability	2	noun
adaptable	2	adjective
adaptation	5	noun
adapted	5	adjective
adapter	4	noun
adaption	1	noun
adaptive	4	adjective
adaptor	1	noun
addendum	2	noun
adder	1	noun
addict	4	noun
addicted	4	adjective
addiction	5	noun
addictive	4	adjective
additionally	5	adverb
additive	3	adjective
addled	1	adjective
addressable	1	adjective
addressed	5	adjective
addressee	1	noun
adduct	1	noun
adductor	1	noun
ade	2	noun
adenine	1	noun
adenocarcinoma	1	noun
adenoma	1	noun
adenosine	1	noun
adenovirus	1	noun
adept	3	adjective
adequacy	2	noun
adequate	5	adjective
adequately	4	adverb
adhere	3	verb
adherence	3	noun
adherent	1	adjective
adhesion	2	noun
adhesive	3	adjective
adiabatic	1	adjective
adieu	2	noun
adios	1	noun
adipose	1	adjective
adit	1	noun
adjacency	1	noun
adjacent	5	adjective
adjectival	1	adjective
adjective	3	adjective
adjourn	1	verb
adjournment	1	noun
adjudicate	1	verb
adjudication	1	noun
adjudicator	1	noun
adjunct	3	adjective
adjunctive	1	adjective
adjust	5	verb
adjustable	4	adjective
adjusted	5	adjective
adjuster	1	noun
adjustment	4	noun
adjutant	2	noun
adjuvant	1	adjective
administer	3	verb
administratively	1	adverb
administrator	5	noun
admirable	3	adjective
admirably	2	adverb
admiral	5	noun
admiralty	3	noun
admiration	3	noun
admire	4	verb
admired	4	adjective
admirer	2	noun
admiringly	1	adverb
admissibility	1	noun
admissible	2	adjective
admission	5	noun
admittance	2	noun
admittedly	3	adverb
admixture	1	noun
admonish	1	verb
admonishing	1	adjective
admonishment	1	noun
admonition	1	noun
ado	3	noun
adobe	3	noun
adobo	1	noun
adolescence	3	noun
adolescent	3	adjective
adonis	2	noun
adopt	5	verb
adoptable	1	adjective
adoptee	1	noun
adopter	1	noun
adoption	5	noun
adoptive	3	adjective
adorable	5	adjective
adorably	1	adverb
adoration	2	noun
adore	4	verb
adored	3	adjective
adoring	2	adjective
adorn	2	verb
adorned	3	adjective
adornment	1	noun
adrenal	2	adjective
adrenaline	3	noun
adrenergic	1	adjective
adrift	2	adjective
adroit	1	adjective
adroitly	1	adverb
adsorbent	1	adjective
adsorption	2	noun
adulation	1	noun
adulterated	1	adjective
adulteration	1	noun
adulterer	1	noun
adulteress	1	noun
adulterous	1	adjective
adultery	3	noun
adulthood	4	noun
adulting	1	noun
advancement	4	noun
advancing	4	adjective
advantageous	3	adjective
advantageously	1	adverb
advent	4	noun
adventurer	2	noun
adventurous	3	adjective
adverb	1	noun
adverbial	1	adjective
adversary	3	noun
adverse	4	adjective
adversely	3	adverb
adversity	3	noun
advert	3	noun
advertise	4	verb
advertised	4	adjective
advertisement	4	noun
advertiser	3	noun
advisable	3	adjective
advise	5	verb
advised	5	adjective
advisement	1	noun
adviser	4	noun
advisor	5	noun
advisory	5	adjective
advocacy	4	noun
advocate	5	noun
aegis	2	noun
aeon	1	noun
aerated	1	adjective
aeration	1	noun
aerial	4	adjective
aerie	1	noun
aerobatics	1	noun
aerobic	2	adjective
aerobics	1	noun
aerodrome	1	noun
aerodynamic	2	adjective
aerodynamics	2	noun
aeronautical	2	adjective
aeronautics	2	noun
aeroplane	2	noun
aerosol	2	noun
aerospace	4	noun
aesthetic	5	adjective
aesthetically	2	adverb
aesthetics	3	noun
aether	1	noun
afar	3	adverb
